,G3-3a_Loki-Asv2_1,G3-3a_Loki-Asv2_2,G3-3a_Loki-Asv2_3,Loki-Asv2
G1.12,0,2,0,527.9844565
Glu2,4095.530825,18484.02005,69.56677653,1236.015908
G1.3,1630.613541,12144.6687,30.78531983,326.368687
Cell6,50760.95704,46694.25081,36.2805718,77.77773155
Pustular,1.879634341,2.433216471,0,857.0018441
Heim,36191.12115,40654.7416,1005.991448,856.1243543
Ce6,228.4622614,2358.503633,109.9872852,130.8574933
Gl6,29.25988512,123.3127649,0.395948276,1.253579084
H37,346.886711,0,1.834625622,211.352362
G3.3a,592.043496,65535,443.8884387,349.09203
G4.89,3.052844219,0,62.27914271,63.27990163
